ENTITY_ID,OBJ_ID,VER_NBR,ACTV_IND,LAST_UPDT_DT
"acqmgr","e7b55409-6594-4817-980b-d1bf2b1c89bc",1,"Y",NULL
"ayse","61c2c8b8-cf4e-475e-a096-2db08d93874a",1,"Y",NULL
"circmgr","24b3fcde-df0c-4cb0-bb95-aeb02e8a58ae",1,"Y",NULL
"describemgr","efe98e9e-59ec-4c15-a3cd-d449dfa0ed60",2,"Y",NULL
"divcircmgr","6c06ca91-2ec0-4428-9cde-87cda795d272",1,"Y",NULL
"dkucircmgr","46dd7a81-46c1-4239-ad5d-b8dfb5c466d4",1,"Y",NULL
"fordcircmgr","1ae6e920-d0d4-4f2f-adcb-1e95502d1c4c",1,"Y",NULL
"jeff","f142ffd2-c1a5-48fd-aa8c-d20b69cbfc91",1,"Y",NULL
"karen","7c50f7d3-0140-429a-92a8-a869a92fec4a",1,"Y",NULL
"lawcircmgr","f41191d6-a4f1-42d5-9c88-811e5fa9edc1",1,"Y",NULL
"lillycircmgr","e29742f5-8ae9-461b-9855-ebcdbaf1319a",1,"Y",NULL
"linkcircmgr","50639019-d8c9-48dc-b431-c1131f5afa3e",1,"Y",NULL
"marinecircmgr","1b54ead5-bc9b-465f-9cc7-1dbd9fba1b53",1,"Y",NULL
"mclcircmgr","2b10c9fe-2038-4ddf-87d5-9975f2f4c56b",1,"Y",NULL
"mohamed","8c28d644-8e94-4498-820b-1c435725de3d",1,"Y",NULL
"musiccircmgr","0afbba14-ae07-411c-b144-35a3750ee6a2",1,"Y",NULL