"ROLE_MBR_ID","VER_NBR","OBJ_ID","ROLE_ID","MBR_ID","MBR_TYP_CD","ACTV_FRM_DT","ACTV_TO_DT","LAST_UPDT_DT" 
"101",1,"7fee16ca-573a-4735-836a-102cdce41d4e","59","27","G",NULL,NULL,NULL
"102",1,"1da89905-446e-4c71-9e51-43530f127465","60","27","G",NULL,NULL,NULL
"103",1,"A35ACC1E-CE8F-1562-65D8-20A583179D28","61","27","G",NULL,NULL,NULL
"104",1,"49208778-C869-BACF-0B9C-FB690134565F","63","26","G",NULL,NULL,NULL
"105",1,"28F8B29E-32EF-10DF-23E5-A530B2D89E7B","66","23","G",NULL,NULL,NULL
"106",1,"0FAEFF45-1E9B-1E2D-CFF4-A8172A62DB06","67","27","G",NULL,NULL,NULL
"107",1,"D9AC81B1-F396-8E60-CEAD-15DB5AB7FE5A","83","23","G",NULL,NULL,NULL
"108",1,"4F588184-0F80-45B6-3E14-6DC320E674D5","88","27","G",NULL,NULL,NULL
"109",1,"54ECDB9A-86A6-D969-9734-64C116F5FA90","89","27","G",NULL,NULL,NULL
"110",1,"C8E8C626-2552-EF6F-2F67-E28774E6DC6E","90","27","G",NULL,NULL,NULL
"111",1,"8084CCD3-2C44-BB64-F192-620CC77127F0","95","26","G",NULL,NULL,NULL
"112",1,"BAF0834D-533A-77B9-2A03-A4D1BC50F2AE","97","27","G",NULL,NULL,NULL
"113",1,"2FC73633-049D-39E1-58F1-31689A61F591","98","25","G",NULL,NULL,NULL
"114",1,"D140C9CF-00C0-D380-36CE-3C53831FE781","99","27","G",NULL,NULL,NULL
"115",1,"B8EBC622-A9D3-250C-A880-906646B37C4D","OLE7","10","G",NULL,NULL,NULL
"116",1,"F75C5935-75C2-1633-F082-53E8FCDE21CB","OLE9","10","G",NULL,NULL,NULL
"117",1,"02E8F3FE-D5E0-D5AA-0164-1AFC3899BEBE","OLE11","5","G",NULL,NULL,NULL
"118",1,"2D91753B-5A5D-5B09-1EDE-4CA12A760331","OLE12","5","G",NULL,NULL,NULL
"119",1,"A28E034B-6D8C-C9A4-4EC1-7EAD6E883B18","OLE13","5","G",NULL,NULL,NULL
"120",1,"FE1CD591-1A17-0E84-B690-CC0A7170B3E8","OLE15","5","G",NULL,NULL,NULL
"121",1,"C6A26EFE-783A-7991-EF59-14C528BEB0EC","OLE16","10","G",NULL,NULL,NULL
"122",1,"467FB1CB-585D-EEF4-CBE1-0D8952B09A82","OLE17","6","G",NULL,NULL,NULL
"123",1,"00C441A2-CD0A-16FF-1C83-8691AB12EE58","OLE18","7","G",NULL,NULL,NULL
"124",1,"25F5A5EC-D919-68BB-6FEF-1C958D445911","OLE19","7","G",NULL,NULL,NULL
"125",1,"D18D7B70-D2B6-9121-BCDA-0540340B9E45","OLE20","7","G",NULL,NULL,NULL
"126",1,"BCABDD43-38DB-C88B-ADE2-B4E9B501169E","OLE22","8","G",NULL,NULL,NULL
"127",1,"925334C8-1AB5-EE35-A86B-A92D9CB3A924","OLE23","8","G",NULL,NULL,NULL
"128",1,"F6F30EDF-F756-45C2-661D-4DDAD66A8C97","OLE24","8","G",NULL,NULL,NULL
"129",1,"AB55F74D-581F-5E99-A3F7-43B9CB64534D","OLE25","8","G",NULL,NULL,NULL
"130",1,"AF080898-0C82-A85F-6353-3318678E3A4B","OLE26","8","G",NULL,NULL,NULL
"131",1,"2FDDD138-322F-063B-3B9D-A6B54CAD8CF0","OLE27","8","G",NULL,NULL,NULL
"132",1,"4C2F165B-39CC-7D1A-8536-55AEB0BDC69A","OLE28","10","G",NULL,NULL,NULL
"133",1,"289D9E32-9397-90BE-FC66-1DCF451954F4","OLE29","10","G",NULL,NULL,NULL
"134",1,"FB718A09-D074-9449-4098-ED2CB6081A2E","OLE30","10","G",NULL,NULL,NULL
"135",1,"2490742E-FF75-FC39-131D-7B8B339AC7C0","OLE31","10","G",NULL,NULL,NULL
"136",1,"75E524F9-C28A-A564-C702-C32629A8CF03","OLE32","10","G",NULL,NULL,NULL
"137",1,"0D2848BF-EE2D-4E3C-01D8-B948B3912147","OLE33","10","G",NULL,NULL,NULL
"138",1,"2763F424-0805-BE51-3C26-E1C06545FACF","OLE34","10","G",NULL,NULL,NULL
"139",1,"D1827BE4-61EE-12B9-7BEC-7CF301FD44AC","OLE35","10","G",NULL,NULL,NULL
"140",1,"C8FDB00D-16BB-CFC1-B75D-37A502C0C0F9","OLE36","10","G",NULL,NULL,NULL
"141",1,"326F8B72-72E1-7679-72D2-F3AF9F69FA85","OLE37","10","G",NULL,NULL,NULL
"142",1,"D2172EE7-7177-EC81-D507-2A3BC872FF59","OLE38","10","G",NULL,NULL,NULL
"143",1,"4D95A09C-8B4D-41C8-3388-5E50299D7CD1","OLE40","10","G",NULL,NULL,NULL
"144",1,"B0CBE085-1F52-78CE-72E6-F5CBBF8BDB45","OLE41","10","G",NULL,NULL,NULL
"145",1,"9243BF0D-1220-7F16-A5FE-312275A472CB","OLE42","10","G",NULL,NULL,NULL
"146",1,"D66BBA18-EE8C-896A-FD3C-C53D5B5FF071","OLE43","10","G",NULL,NULL,NULL
"147",1,"14114DAD-B7E4-A1BB-AFDE-B1904BC575C9","OLE44","10","G",NULL,NULL,NULL
"148",1,"6CA154F7-5A06-E973-4555-55F1460BF093","OLE45","10","G",NULL,NULL,NULL
"149",1,"E7034704-475A-DD78-F076-4E8D2B7B25CF","OLE46","10","G",NULL,NULL,NULL
"150",1,"6C617344-4062-BD19-023E-E0659270F9BB","OLE47","10","G",NULL,NULL,NULL
"151",1,"C4E63CA6-8256-5F61-4D83-223A9B074125","OLE48","10","G",NULL,NULL,NULL
"152",1,"35FB9859-5BC0-0922-5BE4-40D59C387C9E","OLE49","10","G",NULL,NULL,NULL
"153",1,"F5F1EFFA-AA17-6AFB-5C29-E99F26FACFEA","OLE50","10","G",NULL,NULL,NULL
"154",1,"DE59EDA4-7C2B-4D69-C514-0E4DCA166DCB","OLE51","10","G",NULL,NULL,NULL
"155",1,"87531CEF-46FF-D7A2-CCCC-296D2C2FE54D","OLE53","10","G",NULL,NULL,NULL
"156",1,"177BF884-706A-9871-AA58-F1E3BE9A605B","OLE54","10","G",NULL,NULL,NULL
"157",1,"FC3A21FE-01D0-DF3F-2677-F6BA7D253AEE","OLE55","10","G",NULL,NULL,NULL
"158",1,"38D5FA9F-29D9-F5FA-C273-0B4644D31F2B","OLE56","11","G",NULL,NULL,NULL
"159",1,"7AEEE3CD-D88C-1F97-4828-1149961C00A5","OLE62","10","G",NULL,NULL,NULL
"160",1,"D59D91BA-0C70-C3EB-D103-569560D663F2","OLE65","10","G",NULL,NULL,NULL
"161",1,"153C6CEA-79A2-7C56-8360-C3C454B6699C","OLE68","8","G",NULL,NULL,NULL
"162",1,"47150C36-0691-B0A6-0DFD-4BADEC1E239E","OLE69","8","G",NULL,NULL,NULL
"163",1,"0E574F20-4DE0-C470-DF28-3E90E44C2FE2","OLE70","5","G",NULL,NULL,NULL
"164",1,"BA17B42C-731A-2A30-1AF7-685A1BC4E493","OLE72","10","G",NULL,NULL,NULL
"165",1,"68AB6698-0321-CCE9-23C1-67B3F53C9B7C","OLE79","8","G",NULL,NULL,NULL
"166",1,"5A6AAE49-3CF0-EBD6-A98A-D797B88C112C","OLE82","10","G",NULL,NULL,NULL
"167",1,"5B8A5497-FC4A-FA63-2C3E-DC9FC180BFC3","OLE84","8","G",NULL,NULL,NULL
"168",1,"3593470D-A14D-697C-B7AE-67C81AFCD11E","OLE85","8","G",NULL,NULL,NULL
"169",1,"03746DE9-FB64-E06A-E33C-9BBA4884D0B3","OLE86","8","G",NULL,NULL,NULL
"170",1,"AC52D295-0378-51AD-2BFF-37A58102E585","OLE92","5","G",NULL,NULL,NULL
"171",1,"E88F27B3-176D-27C9-C410-76824CD51FCD","OLE93","10","G",NULL,NULL,NULL
"172",1,"6B9E1CEE-8300-FB16-41E4-08AA4D644ECD","OLE94","10","G",NULL,NULL,NULL
"173",1,"10C21C0A-BC77-87E7-3CF4-B3E0ECEE71AF","OLE96","5","G",NULL,NULL,NULL
"174",1,"24207903-8F6B-5CC7-37AF-5BF147B09A62","OLE98","8","G",NULL,NULL,NULL
"175",1,"B0858E8E-F446-DE7A-DF8C-25DE4423B1DC","OLESYS1","10","G",NULL,NULL,NULL
"176",1,"AF970DB6-6D1F-71EB-7D48-002DFBF25CFE","OLEMI4553-2","11","G",NULL,NULL,NULL
"177",1,"389C9C77-AAF1-1F43-0FC3-00C9DA900619","OLEMI6886-ROLE","7","G",NULL,NULL,NULL
"178",1,"8C1FE044-6FDB-9FAE-4223-41EA6BED9D74","OLECNTRB789-ROLE1","10","G",NULL,NULL,NULL
"179",1,"D7DA5272-6481-1A0D-F5DD-76570F62F240","OLE10000","12","G",NULL,NULL,NULL
"180",1,"08944378-FFE8-A0C1-F756-C3AB1B1E4470","OLE10001","12","G",NULL,NULL,NULL
"181",1,"B41E6FEB-EE9B-B1B3-D819-D0D87C069A86","OLE10002","12","G",NULL,NULL,NULL
"182",1,"3FAFAB01-2E0F-FBB9-6441-01E7DB65E8B8","OLE10003","12","G",NULL,NULL,NULL
"183",1,"E5350F06-D862-B382-0171-128D8A2752A9","OLE10004","12","G",NULL,NULL,NULL
"184",1,"694742AB-6581-CECF-9023-49ADAA52267F","OLE10005","12","G",NULL,NULL,NULL
"185",1,"7CD6D9DF-E7E4-983B-E76A-4727F8B9633D","OLE10006","12","G",NULL,NULL,NULL
"186",1,"651761B6-7FFE-2F91-D3C3-444D1AF5A239","OLE10012","12","G",NULL,NULL,NULL
"187",1,"03D837B5-2D9F-7303-4FD6-28F600CA82FA","OLE10013","12","G",NULL,NULL,NULL
"188",1,"0312CE8D-2936-07E9-A86B-38CF39D2B115","OLE10014","12","G",NULL,NULL,NULL
"189",1,"2FDDDA00-B248-1B49-2423-CA2A31C49B19","OLE10016","12","G",NULL,NULL,NULL
"190",1,"ECCADCC8-9F37-1711-7ADA-AA3876BF6626","OLE10017","12","G",NULL,NULL,NULL
"191",1,"852056D8-94AA-8C78-BF9C-A42581D4EF55","OLE10018","12","G",NULL,NULL,NULL
"192",1,"EA8235D3-6B5A-F639-B530-933AA27E4AE3","OLE10019","12","G",NULL,NULL,NULL
"193",1,"D43CACD3-DE90-AD1C-522C-DB515A682D56","OLE10020","12","G",NULL,NULL,NULL
"194",1,"009AC0EE-E191-08DF-313B-49A7FA64BFF9","OLE10021","12","G",NULL,NULL,NULL
"195",1,"C777B098-A707-4D3D-A62B-99F77320F1F8","OLE10022","12","G",NULL,NULL,NULL
"196",1,"7C7B7B31-27DE-3C35-143C-2877854EEFBF","OLE10023","12","G",NULL,NULL,NULL
"197",1,"8A6668FA-35BE-8894-A41D-7299E65CC902","OLE10024","12","G",NULL,NULL,NULL
"198",1,"7E5DF6C0-B6E4-7541-BE00-0FC6ECC4DE65","OLE10025","12","G",NULL,NULL,NULL
"199",1,"39C49B52-50CB-F621-3CD1-60F552A896E2","OLE10026","12","G",NULL,NULL,NULL
"200",1,"AEABB4B8-F727-7106-EC4E-A8DD5A063575","OLE10027","12","G",NULL,NULL,NULL
"201",1,"DF815307-BB00-11E8-15C1-EC7B2B16E074","OLE10028","12","G",NULL,NULL,NULL
"202",1,"C97EDA0B-4CFB-CB44-684D-A548A28E27B7","OLE10029","12","G",NULL,NULL,NULL
"203",1,"EA1A130E-9EC4-0F61-5DBC-4F735764BBAA","OLE10030","12","G",NULL,NULL,NULL
"204",1,"8A65564A-E6F0-42EE-AD8E-C26801B759E3","OLE10031","12","G",NULL,NULL,NULL
"205",1,"68A8B48E-C0C2-735A-875B-E77F970D4943","OLE10032","12","G",NULL,NULL,NULL
"206",1,"671FFA24-A81C-ADD6-FA48-89A663F4E7AA","OLE10033","12","G",NULL,NULL,NULL
"207",1,"AB984061-2840-5C15-9082-D6A894787901","OLE10034","12","G",NULL,NULL,NULL
"208",1,"9EB6A235-5AD1-B13A-46B8-CF396FFD4941","OLE10035","12","G",NULL,NULL,NULL
"209",1,"E4AF0708-C58E-FC06-9E1B-517DE461E413","OLE10036","12","G",NULL,NULL,NULL
"210",1,"9DB38E1D-1F80-D85D-617E-032901FA5D1A","OLE10037","12","G",NULL,NULL,NULL
"211",1,"41E4C604-C1AA-F333-35A8-7F7EDA43958A","OLE10038","12","G",NULL,NULL,NULL
"212",1,"674903B0-3C0F-0B53-8984-67B86B5E8B77","OLE10039","12","G",NULL,NULL,NULL
"213",1,"873A6273-78F2-AB8B-8F93-CC4106A97E18","OLE10040","12","G",NULL,NULL,NULL
"214",1,"CA1BE77E-B2B4-1EE4-36EA-5EBB28DF56DF","OLE10041","12","G",NULL,NULL,NULL
"215",1,"A032661C-D4D5-8F30-BCEB-A999FC1AA2A3","OLE10042","12","G",NULL,NULL,NULL
"216",1,"CAEE651B-7418-1C17-DC7A-DB924E00964B","OLE10043","12","G",NULL,NULL,NULL
"217",1,"E24DD9B8-4E37-E459-8F5C-E36421FCA7A7","OLE10044","12","G",NULL,NULL,NULL
"218",1,"710DCD9C-13E6-812B-9F31-5FB4F9D5D734","OLE10045","12","G",NULL,NULL,NULL
"219",1,"90939DD7-BAD0-E008-17C4-8D8E44723647","OLE10046","18","G",NULL,NULL,NULL
"220",1,"92E12BE4-2FED-FC76-0875-74A31730BD21","OLE10047","18","G",NULL,NULL,NULL
"221",1,"E1028E2A-8F8B-13F3-BB2B-A83593662EC0","OLE10048","18","G",NULL,NULL,NULL
"222",1,"3BB309DD-3AB8-5D02-22D0-33FBB783CFA9","OLE10049","18","G",NULL,NULL,NULL
"223",1,"4CED5E03-2E13-43E2-A1E7-7349900A6211","OLE10050","18","G",NULL,NULL,NULL
"224",1,"DD2E19C1-06A2-6B92-26E7-CC31091FD4D9","OLE10051","16","G",NULL,NULL,NULL
"225",1,"A63D1412-A22A-BA70-B300-3F55B2B24B2E","OLE10052","16","G",NULL,NULL,NULL
"226",1,"0B881A96-1DB5-75BD-A1B5-42F5290C8358","OLE10053","16","G",NULL,NULL,NULL
"227",1,"E5F0291D-D6B0-3510-C78B-658E73C25427","OLE10054","16","G",NULL,NULL,NULL
"228",1,"5A69AC31-EB6F-62AB-4E41-80CA4AE89A18","OLE10055","16","G",NULL,NULL,NULL
"229",1,"665F3432-0DF1-400E-16EF-726A66111272","OLE10056","16","G",NULL,NULL,NULL
"230",1,"6A2C770C-F0F9-3621-ABD0-19088C1EACA0","OLE10057","16","G",NULL,NULL,NULL
"231",1,"E4924C4A-57B9-4D22-4D1B-37D957F018AA","OLE10058","13","G",NULL,NULL,NULL
"232",1,"F682DD3F-A923-EE6E-6925-8E868D19BBA4","OLE10059","16","G",NULL,NULL,NULL
"233",1,"9966BAEB-0A37-75D6-20CF-72BE1751992A","OLE10060","18","G",NULL,NULL,NULL
"234",1,"39F74351-997F-E49D-9E8F-DBDD6F46554F","OLE10061","18","G",NULL,NULL,NULL
"235",1,"B144AB13-A30C-841A-6401-D5C71FF6ECDA","OLE10062","18","G",NULL,NULL,NULL
"236",1,"AD3DA39E-A776-5696-435D-28EDB605BB09","OLE10063","15","G",NULL,NULL,NULL
"237",1,"EB63B3BE-897C-27B8-50B2-34139F2B1F5F","OLE10064","12","G",NULL,NULL,NULL
"238",1,"8F4C9681-26D7-BD89-EED3-FA7F4356E34B","OLE10065","12","G",NULL,NULL,NULL
"239",1,"46A67376-E6BD-3DFF-C230-3312506F6549","OLE10066","12","G",NULL,NULL,NULL
"240",1,"0DBEDBB5-AAD9-EED5-9721-BDC03567FC87","OLE10067","12","G",NULL,NULL,NULL
"241",1,"44BED2BC-B08F-8EEE-10FB-1E1C633D11E6","OLE10068","12","G",NULL,NULL,NULL
"242",1,"FB787BA9-AF18-792A-06F3-188DBE1CA3FD","OLE10069","12","G",NULL,NULL,NULL
"243",1,"0BAE0436-54AE-B352-3AFF-3605331E553B","OLE10070","12","G",NULL,NULL,NULL
"244",1,"20E8060C-1156-22DD-F0E4-7CE3130B8005","OLE10071","12","G",NULL,NULL,NULL
"245",1,"C217E7A3-AD8C-C80A-59A5-8C851E3CEE7C","KR1000","21","G",NULL,NULL,NULL
"246",1,"F2F67242-85BD-D1DF-2188-B45DD20A9044","KR1001","27","G",NULL,NULL,NULL
"247",1,"2182D75A-6358-1B07-EA28-7D4B0DDF5927","OLE10072","12","G",NULL,NULL,NULL
"248",1,"C0B81A11-99D5-B24E-8612-BB1F890BD2D9","OLE10073","18","G",NULL,NULL,NULL
"249",1,"80D2BFA1-0200-7BB7-82C3-E3F321D46DF6","OLE10074","18","G",NULL,NULL,NULL
"250",1,"A24789D1-F0D5-5A11-36F1-3C46EE614676","OLE10075","18","G",NULL,NULL,NULL
"251",1,"FF618E3F-C492-F443-B598-9F21C6C3E7ED","OLE10076","18","G",NULL,NULL,NULL
"252",1,"349FD9C3-1EFD-9DB0-EC7C-1D0D64A43489","OLE10077","13","G",NULL,NULL,NULL
"253",1,"E8DD2D25-A8BE-41B4-9BEF-AD83E41BB19F","OLE10078","13","G",NULL,NULL,NULL
"254",1,"82FE1AC7-C75F-F295-832B-BE3170A53A8C","OLE10079","13","G",NULL,NULL,NULL
"255",1,"2C459965-14BB-085A-FC18-9803A345C2D4","OLE10080","13","G",NULL,NULL,NULL
"256",1,"AD5CF1E7-EA2C-2ED2-8F91-1F3D755A2D3E","OLE10081","13","G",NULL,NULL,NULL
"257",1,"5E832791-B06A-1386-794A-A7BE78720C99","OLE10082","13","G",NULL,NULL,NULL
"258",1,"5C013C9A-7251-5B31-31F3-E7A6EA1039EA","OLE10083","13","G",NULL,NULL,NULL
"259",1,"9F2E4132-1B81-B620-F328-CB6455679420","OLE10084","13","G",NULL,NULL,NULL